GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
0100000US,,United States,8114,Personal and household goods repair and maintenance,2016,21050,71413,523208,2348517
0100000US,,United States,8121,Personal care services,2016,129361,699658,3437515,14941725
0100000US,,United States,8122,Death care services,2016,20794,140412,1186159,5047361
0100000US,,United States,8123,Drycleaning and laundry services,2016,34250,292994,1859463,8014006
0100000US,,United States,8129,Other personal services,2016,45867,308221,1641871,7198820
0100000US,,United States,8131,Religious organizations,2016,184740,1686959,8871678,36547185
0100000US,,United States,8132,Grantmaking and giving services,2016,20400,196826,2787970,11642411
0100000US,,United States,8133,Social advocacy organizations,2016,17963,169300,1858943,7964816
0100000US,,United States,8134,Civic and social organizations,2016,26647,246426,1221533,5289221
0100000US,,United States,8139,"Business, professional, labor, political, and similar organizations",2016,59400,493436,6722205,27313116
